Partners,Balance-2004,Balance-2005,Balance-2006,Balance-2007,Balance-2008,Balance-2009,Balance-2010,Balance-2011,Balance-2012,Balance-2013,Balance-2014,Balance-2015,Balance-2016,Balance-2017,Balance-2018,Balance-2019,Balance-2020,Balance-2021,Balance-2022,Balance-2023
Bahrain,-75793,-208525,-144584,-84131,-2613942,-1086662,-2423672,-2273954,-2829126,-1586464,-774834,-1015845,-2403490,-4652845,-5502154,-4600563,-1722517,-4018493,-14194892,-27628456
Bangladesh,11427,24702,87967,-28603,-203108,37729,22571,-247766,-276980,-270869,111611,259307,599913,1075140,1781483,1676400,2094498,1719987,946248,3550170
Barbados,4385,8740,5752,85283,15591,7987,6290,2804,10477,17160,-1353,-3666,2330,-11934,5424,-4142,5086,7999,31395,57949
Belarus,-16733,-6519,-8903,-44556,-71467,-34552,-51665,-104659,-61242,-247956,-356995,-144570,-41080,-32262,-51849,11200,-119938,-502,-15951,17750
Belgium,3389653,4241650,4365371,5344094,7450658,2944569,4333898,6127030,5041954,8020070,15015401,16671503,21696453,21370019,18613507,26195594,24712546,32197282,41702545,45972564
Belize,-16631,-19342,-1944,-6041,-1063,-91,4344,11095,7287,7202,10177,17288,22833,52298,23159,6365,720,6213,41484,185642
Benin,54483,67215,128695,136238,309456,207919,46898,283841,389347,284985,233128,221002,363078,182449,169291,121729,136668,206934,252718,86315
Bermuda,1613,2462,1938,614182,-203854,813,612,198237,662,-27464,389528,10223,711295,28084,30901,37266,8324,3055,-15116,-1773168
Bhutan,-122,0,-67,-1264,308,-1203,-379,-72,131,-125,11,-13,176,692,-3884,-3883,3107,3882,6043,-295
"Bolivia, Plurinational State of",-3470,-1241,-4063,-113141,1257,4130,-26689,6378,-82,-13156,-2068,64649,21514,2009,-5029,7722,-4350,-4738,26564,-41692
Bosnia and Herzegovina,1063,-5462,-5457,10530,7593,-10500,343,-10642,-20226,-31469,-18351,56811,59619,64989,51743,-69481,-55635,-77779,-76187,-75754
Botswana,-2202,-1914981,-1778774,-1535498,-1482190,-863175,28154677,30437714,37968778,39171560,46510365,47169166,48564898,45735818,48122292,52760042,46780406,56375362,65735673,67732992
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,-63,-15,-146,-171,0,0,,,
Brazil,-4815313,-6278959,-6567184,-7998714,-8127003,-7352689,-4791175,-6154297,-7179670,-9121089,-7955205,-10016380,-15033472,-15330258,-13572526,-10968325,-12596656,-12434561,-18027573,-17473439
British Indian Ocean Territory,352,-373,47,1328,2182,-33,-117,-482,-188,-461,-76,-431,-103,-173,-1172,260,-49,-15,-786,-2046
